date,retailer,cash_price_ars,installment_12m_ars,interest_free,product_url
2026-04-03,Mercado Libre,,,,https://www.mercadolibre.com.ar/gz/account-verification?go=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fsmart-tv-tcl-mini-led-smt-65p-4k-65c6k-google-tv%2Fp%2FMLA57770372&tid=c29aa37c-e856-4b2a-b2f5-e6d30921fce3
2026-04-03,Fravega,1499999,,,https://www.fravega.com/p/smart-tv-tcl-65-4k-mini-led-65c6k-google-tv-502880/
2026-04-03,On City,1399999,,,https://www.oncity.com/smart-qd-mini-led-tv-tcl-65--qd-4k-3840-x-2160-65c6k-155162/p
2026-04-03,Naldo,1799999,,,https://www.naldo.com.ar/65-l65c6k-miniled-4k-google-bt-ctrl-voz-505892-1/p?skuId=45298
2026-04-03,Cetrogar,1399999,116666,True,https://www.cetrogar.com.ar/smart-tv-tcl-65-mini-led-65c6k-uhd-google-tv-rv.html
2026-04-04,Mercado Libre,,,,https://www.mercadolibre.com.ar/gz/account-verification?go=https%3A%2F%2Fwww.mercadolibre.com.ar%2Fsmart-tv-tcl-mini-led-smt-65p-4k-65c6k-google-tv%2Fp%2FMLA57770372&tid=34e263d4-2e32-4564-8ded-a1da2787c906
2026-04-04,Fravega,1399999,,,https://www.fravega.com/p/smart-tv-tcl-65-4k-mini-led-65c6k-google-tv-502880/
2026-04-04,On City,1399999,,,https://www.oncity.com/smart-qd-mini-led-tv-tcl-65--qd-4k-3840-x-2160-65c6k-155162/p
2026-04-04,Naldo,1799999,,,https://www.naldo.com.ar/65-l65c6k-miniled-4k-google-bt-ctrl-voz-505892-1/p?skuId=45298
2026-04-04,Cetrogar,1399999,116666,True,https://www.cetrogar.com.ar/smart-tv-tcl-65-mini-led-65c6k-uhd-google-tv-rv.html
